project_id,project_city,project_state,project_sq_ft,type,project_category,construction_category,acf_2023,new_construction_median_sale_price_per_sqft_norm,cost_div_0_sel,cost_div_1_sel,cost_div_2,cost_div_3_sel,cost_div_4,cost_div_5_sel,cost_div_6_sel,cost_div_7_sel,cost_div_8_sel,cost_div_9_sel,cost_div_10,cost_div_11,cost_div_12_sel,cost_div_13,cost_div_14,cost_div_21,cost_div_22,cost_div_23_sel,cost_div_25,cost_div_26,cost_div_27,cost_div_28_sel,cost_div_31,cost_div_32,cost_div_33,cost_div_34,cost_div_35,cost_div_40,cost_div_41_sel,cost_div_42,cost_div_43,cost_div_44,cost_div_46,cost_div_48,has_div_21_cost,has_div_31_cost,has_div_22_cost,has_div_48_cost,line_item_count,total_material_sq_ft,divisions_with_cost,average_line_item_cost,total_project_cost
ab677a298008c7eaf5f2f83887d616d179f20c2117be79a49bb7d8a699fa14a6,Kansas City,MO,34005,Sports and Fitness Facility,Sports,Commercial,0.949999988079071,1.0485887432357952,308647.0,1127207.0,0.0,626007.0,2206185.0,124863.0,639995.0,270748.0,517838.0,527365.0,0.0,0.0,0.0,0.0,0.0,0.0,2499283.0,0.0,0.0,0.0,0.0,35743752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,51.0,1426155.3662999999,11.0,874350.7843137255,44591890.0
e1fec61ac6879c39ef5ff3250c6cd71bf08f86bf020c0d6f457b041674bf0094,Florence,AL,6363,Critical Care Facility,Medical,Commercial,0.8399999737739563,1.0,299351.0,204235.0,0.0,0.0,0.0,0.0,12895.0,0.0,0.0,0.0,0.0,282130.0,307855.0,0.0,0.0,0.0,279322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136658.0,129149.0,5241818.0,0.0,185648.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43.0,178109.1886,10.0,164629.32558139536,7079061.0
9399a5f739258a139b15918f212d985bff1c01c802e090e029390e301524141a,Springfield,OH,52144,Cafeterias,Educational,Commercial,0.9599999785423279,1.0,42675.0,1307256.0,0.0,219084.0,144245.0,609222.0,188242.0,629863.0,1101078.0,1118003.0,193945.0,241111.0,914242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21629449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,938593.5678000001,13.0,1180767.2916666667,28338415.0
bf69c4d9e5ca6d8ff0877f98f097ce12f717ff901da9f701cab78ffa1bf1f83b,Bowling Green,OH,45075,Critical Care Facility,Medical,Commercial,0.9599999785423279,1.0,1232365.0,808260.0,0.0,859605.0,500571.0,816473.0,1990911.0,1228478.0,784119.0,2224403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47576013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1306865.7991,10.0,1487723.0256410257,58021198.0
3eeff0a6a7f21d724c6a8f62ee21de9525c4b3964cf9f91030ebfd64c1e47c05,Morrisville,PA,117064,Cafeterias,Educational,Commercial,1.100000023841858,1.0,1298862.0,99641.0,0.0,894054.0,6029265.0,3690177.0,2186836.0,1941312.0,2058060.0,2669040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95626574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1871904.2057,10.0,5824691.05,116493821.0
3fb43265fd09516d2cdaad965fb16df7d2950ca38826a4bdd0c0d81e2ab8483d,Lancaster,PA,55294,Sports and Fitness Facility,Sports,Commercial,1.100000023841858,1.0,191030.0,2158148.0,0.0,1077157.0,1812691.0,3688129.0,7237855.0,2875624.0,929004.0,3416224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91956525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2380492.3218,10.0,2454093.340425532,115342387.0
0a519be3f621644ec0b6ec8c738255fee357043aedcf5d1280a98830cdb2b3d9,New Braunfels,TX,4015,Commemorative and Funeral Monument,Retail,Commercial,0.8899999856948853,0.7647607194938695,203502.0,28000.0,0.0,88092.0,63000.0,85663.0,160341.0,100097.0,141967.0,143826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4334637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,136433.88609999997,10.0,140766.44736842104,5349125.0
986d30b33b9bad01cf7c4a132c36e871e922a406d2c21223efde2dd105919b4d,Houston,TX,20000,Communication Devices,Offices & Warehouses,Commercial,0.8899999856948853,0.8134362848137279,33167.0,736107.0,0.0,523821.0,43152.0,485283.0,318768.0,986033.0,788266.0,588302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18413318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,881341.1188999999,10.0,416658.4909090909,22916217.0
1979c2c907a2cc6a2d8096f30b39170e21df21c97f5aa29a961a8abebf98d6b5,Austin,TX,98100,Cafeterias,Educational,Commercial,0.8899999856948853,0.9239922740120313,395822.0,1734790.0,0.0,2645989.0,2122013.0,3230301.0,839137.0,3026356.0,1053808.0,3022475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80245521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1471530.9183,10.0,5174537.47368421,98316212.0
2f5e2c7c673343e3bc1792c3d48ad1963890039115ff42289735aafa3d9fb1b8,San Antonio,TX,205137,Custom Residence,Residential,Commercial,0.8899999856948853,0.7647607194938695,2945930.0,4840884.0,0.0,0.0,0.0,0.0,925810.0,234574.0,367910.0,0.0,198000.0,3139222.0,4982310.0,0.0,0.0,18366.0,3548612.0,83550976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81396.0,1684182.0,3669726.0,2915596.0,2932562.0,4342262.0,0.0,0.0,1.0,0.0,1.0,0.0,133.0,24036686.6843,17.0,905100.1353383459,120378318.0
